date,conditional_volatility,regime
2013-04-10,0.6836626514788873,low
2013-04-11,0.6622511502321476,low
2013-04-12,0.642623415135646,low
2013-04-15,0.6378687924928639,low
2013-04-16,1.166843009769178,high
2013-04-17,1.110506029338331,high
2013-04-18,1.2249194082284152,high
2013-04-19,1.200979461152938,high
2013-04-22,1.1423920667291554,high
2013-04-23,1.0876776877824539,high
2013-04-24,1.036629877863128,medium
2013-04-25,0.9890953977983487,medium
2013-04-26,0.9448000390898774,medium
2013-04-29,0.9078028085227873,medium
2013-04-30,0.8692526110647251,medium
2013-05-01,0.8334963967436625,medium
2013-05-02,0.896301153945225,medium
2013-05-03,0.8585794035581722,medium
2013-05-06,0.8236058167230286,medium
2013-05-07,0.7912269972056778,medium
2013-05-08,0.7612957233206699,medium
2013-05-09,0.7336704626516368,medium
2013-05-10,0.7271982979758388,medium
2013-05-13,0.7022573728293855,low
2013-05-14,0.6793662424594141,low
2013-05-15,0.6583099657392227,low
2013-05-16,0.6390143513067108,low
2013-05-17,0.6595058531766067,low
2013-05-20,0.6401093335293149,low
2013-05-21,0.6236013956708009,low
2013-05-22,0.6072860686466771,low
2013-05-23,0.6929368855593336,low
2013-05-24,0.6837842345018038,low
2013-05-28,0.6631683999953889,low
2013-05-29,0.6434635427023256,low
2013-05-30,0.6969027829732062,low
2013-05-31,0.6744047314889072,low
2013-06-03,0.8986374800994642,medium
2013-06-04,0.8607471041984966,medium
2013-06-05,0.8604225513411499,medium
2013-06-06,1.0168599150849973,medium
2013-06-07,0.9706415003629203,medium
2013-06-10,0.9276346447947759,medium
2013-06-11,0.8879916802542819,medium
2013-06-12,0.9576251494324762,medium
2013-06-13,0.9850683176660641,medium
2013-06-14,0.941053415320924,medium
2013-06-17,0.9364070454499259,medium
2013-06-18,0.8958142056261107,medium
2013-06-19,0.858127623312751,medium
2013-06-20,1.0169310346507483,medium
2013-06-21,1.4495456049077924,high
2013-06-24,1.3749868100951066,high
2013-06-25,1.4065053592304704,high
2013-06-26,1.3346686023588474,high
2013-06-27,1.2674116447167743,high
2013-06-28,1.2044898156287887,high
2013-07-01,1.1614109599721536,high
2013-07-02,1.1054336614204405,high
2013-07-03,1.053688794536019,medium
2013-07-05,1.0049460921555704,medium
2013-07-08,0.959550654586668,medium
2013-07-09,0.9173223921648417,medium
2013-07-10,0.8780896592163616,medium
2013-07-11,0.8416904486932301,medium
2013-07-12,0.807963914076852,medium
2013-07-15,0.7767617162038648,medium
2013-07-16,0.7479393823642233,medium
2013-07-17,0.7402084646425643,medium
2013-07-18,0.714235627223592,low
2013-07-19,0.6903328647569295,low
2013-07-22,0.6683724605916597,low
2013-07-23,0.6482312711952772,low
2013-07-24,0.6358453815005646,low
2013-07-25,0.641489757189855,low
2013-07-26,0.6236256180415952,low
2013-07-29,0.6073081744105697,low
2013-07-30,0.6155543633585818,low
2013-07-31,0.5999452288287529,low
2013-08-01,0.585920767477311,low
2013-08-02,0.5729673318771625,low
2013-08-05,0.5612042176789148,low
2013-08-06,0.555205900513313,low
2013-08-07,0.6002227706454436,low
2013-08-08,0.6101638982022447,low
